127.0.0.1 - - [12/Aug/2023:14:52:12 +0900] "GET / HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:24 +0900] "GET /erp4/contact.do?mymenu=1?mcode=M050000&murl=/erp4/contact.do?mymenu=1 HTTP/1.1" 200 24666
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:26 +0900] "GET /erp4/dept.do?mymenu=1?mcode=M050000&murl=/erp4/dept.do?mymenu=1 HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:26 +0900] "GET /erp4/dept.do?mymenu=1?mcode=M050000&murl=/erp4/dept.do?mymenu=1 HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:27 +0900] "GET /erp4/contact.do?mymenu=1?mcode=M050000&murl=/erp4/contact.do?mymenu=1 HTTP/1.1" 200 24666
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:11:51 +0900] "GET /erp4/contact.do?mymenu=1?mcode=M050000&murl=/erp4/contact.do?mymenu=1 HTTP/1.1" 200 24701
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:11:59 +0900] "GET /erp4/contact.do?mcode=M050000&murl=/erp4/contact.do HTTP/1.1" 200 27519
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:12:02 +0900] "GET /erp4/contact.do?mcode=M050000&murl=/erp4/contact.do HTTP/1.1" 200 27519
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:12:15 +0900] "GET /mymenu/noteList2.do?mymenu=1?mcode=M040000&murl=/mymenu/noteList2.do?mymenu=1 HTTP/1.1" 200 20672
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:12:20 +0900] "GET /erp4/dept.do?mymenu=1?mcode=M050000&murl=/erp4/dept.do?mymenu=1 HTTP/1.1" 200 23327
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:12:21 +0900] "GET /erp4/contact.do?mymenu=1?mcode=M050000&murl=/erp4/contact.do?mymenu=1 HTTP/1.1" 200 24701
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:12:48 +0900] "GET /erp4/contact.do?mymenu=1?mcode=M050000&murl=/erp4/contact.do?mymenu=1 HTTP/1.1" 200 24720
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:13:20 +0900] "GET /resources/bootstrap/dist/css/adminlte.min.css.map HTTP/1.1" 200 3846965
